year_month,rides
2019-01,124833
2019-02,178720
2019-03,310192
2019-04,431495
2019-05,649158
2019-06,640428
2019-07,683794
2019-08,637052
2019-09,660188
2019-10,623146
2019-11,424665
2019-12,274688
2020-01,286552
2020-02,285995
2020-03,213979
2020-04,43312
2020-05,101258
2020-06,126476
2020-07,261282
2020-08,283504
2020-09,290937
2020-10,290836
2020-11,185918
2020-12,119469
2021-01,103348
2021-02,171938
2021-03,345972
2021-04,418138
2021-05,418138
2021-06,492796
2021-07,649427
2021-08,587598
2021-09,589871
2021-10,548544
2021-11,370863
2021-12,324099
2022-01,131900
2022-02,195899
