year_quarter,total_trips,avg_vehicles,coverage_reliable
2019-Q1,13700,,False
2019-Q2,127800,188,False
2019-Q3,569300,1116,False
2019-Q4,422400,1396,False
2020-Q1,189700,1090,False
2020-Q2,93600,985,False
2020-Q3,326700,2035,False
2020-Q4,240900,2161,False
2021-Q1,211700,1886,False
2021-Q2,972900,4188,False
2021-Q3,1613400,5112,False
2021-Q4,1227200,6930,True
2022-Q1,680500,6818,True
2022-Q2,1480400,8948,True
2022-Q3,1702600,8923,True
2022-Q4,1040300,8254,True
2023-Q1,713900,5191,True
2023-Q2,1367500,7083,True
2023-Q3,1570200,7818,True
2023-Q4,1067400,8371,True
2024-Q1,758300,9032,True
2024-Q2,1516500,10531,True
2024-Q3,1790000,10535,True
2024-Q4,1260700,8913,True
2025-Q1,943500,8917,True
2025-Q2,1928800,7092,True
2025-Q3,2307900,5825,True
2025-Q4,1774600,6532,True
2026-Q1,1127700,6683,True
2026-Q2,2736600,6084,True
