flag_type,flag_value,severity,count
impaired,N,Fatal,14
impaired,N,Major,242
impaired,N,Minor,1350
impaired,N,None,1305
impaired,Y,Major,1
impaired,Y,Minor,5
impaired,Y,None,10
speeding,N,Fatal,11
speeding,N,Major,234
speeding,N,Minor,1331
speeding,N,None,1289
speeding,Y,Fatal,3
speeding,Y,Major,9
speeding,Y,Minor,24
speeding,Y,None,26
ticket_issued,N,Fatal,11
ticket_issued,N,Major,200
ticket_issued,N,Minor,1066
ticket_issued,N,None,1075
ticket_issued,Y,Fatal,3
ticket_issued,Y,Major,43
ticket_issued,Y,Minor,289
ticket_issued,Y,None,240
