match_source,year,count
moped_or_motorized_bicycle,2003,1
moped_or_motorized_bicycle,2006,1
moped_or_motorized_bicycle,2020,1
moped_or_motorized_bicycle,2021,5
moped_or_motorized_bicycle,2022,8
moped_or_motorized_bicycle,2023,194
moped_or_motorized_bicycle,2024,409
moped_or_motorized_bicycle,2025,301
moped_or_motorized_bicycle,2026,315
moped_scooter,2008,10
moped_scooter,2009,43
moped_scooter,2010,52
moped_scooter,2011,46
moped_scooter,2012,56
moped_scooter,2013,61
moped_scooter,2014,63
moped_scooter,2015,109
moped_scooter,2016,170
moped_scooter,2017,165
moped_scooter,2018,172
moped_scooter,2019,253
moped_scooter,2020,209
moped_scooter,2021,194
moped_scooter,2022,89
