CRIMEID,CCN,PERSONID,PERSONTYPE,AGE,age_band,FATAL,MAJORINJURY,MINORINJURY,severity,IMPAIRED,SPEEDING,TICKETISSUED,INVEHICLETYPE,match_source,year_ccn,year,year_month,ward,date_source
27806678,18160217,87549612,Driver,55,55-64,N,N,N,None,N,N,Y,Moped/scooter,moped_scooter,2018,2018,,,ccn_year_fallback
25177000,14171588,85007449,Driver,26,25-34,N,N,N,None,N,N,N,Moped/scooter,moped_scooter,2014,2014,,,ccn_year_fallback
25203504,14197488,84810972,Driver,,Unknown,N,N,N,None,N,N,N,Moped/scooter,moped_scooter,2014,2014,,,ccn_year_fallback
25218769,15012079,84956257,Driver,26,25-34,N,N,N,None,N,N,N,Moped/scooter,moped_scooter,2015,2015,,,ccn_year_fallback
24734291,13131979,84589498,Driver,27,25-34,N,N,Y,Minor,N,N,N,Moped/scooter,moped_scooter,2013,2013,,,ccn_year_fallback
24213490,12130954,84990042,Driver,,Unknown,N,N,N,None,N,N,N,Moped/scooter,moped_scooter,2012,2012,,,ccn_year_fallback
25264964,15060746,84865674,Driver,23,16-24,N,N,N,None,N,N,N,Moped/scooter,moped_scooter,2015,2015,,,ccn_year_fallback
25279306,15074924,84666757,Passenger,,Unknown,N,Y,N,Major,N,N,N,Moped/scooter,moped_scooter,2015,2015,,,ccn_year_fallback
25279306,15074924,84687478,Driver,15,<16,N,N,N,None,N,N,N,Moped/scooter,moped_scooter,2015,2015,,,ccn_year_fallback
25282125,15078605,84567861,Driver,38,35-44,N,N,N,None,N,N,N,Moped/scooter,moped_scooter,2015,2015,,,ccn_year_fallback
25291089,15087571,84600356,Driver,65,65+,N,N,Y,Minor,N,N,N,Moped/scooter,moped_scooter,2015,2015,,,ccn_year_fallback
25317384,15114246,84979456,Driver,28,25-34,N,N,N,None,N,N,N,Moped/scooter,moped_scooter,2015,2015,,,ccn_year_fallback
25309047,15105724,84828874,Passenger,,Unknown,N,Y,N,Major,N,N,N,Moped/scooter,moped_scooter,2015,2015,,,ccn_year_fallback
25309047,15105724,84953444,Driver,18,16-24,N,Y,N,Major,N,N,N,Moped/scooter,moped_scooter,2015,2015,,,ccn_year_fallback
24259079,12144149,84562471,Driver,56,55-64,N,N,N,None,N,N,N,Moped/scooter,moped_scooter,2012,2012,,,ccn_year_fallback
24283683,12152260,84839660,Driver,45,45-54,N,N,N,None,N,N,N,Moped/scooter,moped_scooter,2012,2012,,,ccn_year_fallback
