year_month,severity,count
2003-11,Minor,1
2006-07,None,1
2008-06,Minor,1
2008-06,None,1
2008-07,None,3
2008-09,None,1
2008-10,None,1
2008-11,None,1
2009-01,Minor,2
2009-01,None,1
2009-03,None,3
2009-04,Minor,1
2009-04,None,4
2009-05,Major,2
2009-05,Minor,2
2009-05,None,1
2009-06,Major,1
2009-06,None,3
2009-07,Minor,2
2009-08,None,2
2009-09,None,1
2009-10,Minor,1
2009-10,None,4
2009-11,Major,1
2009-12,None,1
2010-03,Minor,2
2010-04,Major,1
2010-04,Minor,4
2010-04,None,2
2010-05,Major,1
2010-05,Minor,2
2010-05,None,1
2010-06,Minor,2
2010-06,None,3
2010-07,Major,1
2010-07,None,3
2010-08,None,1
2010-09,Major,1
2010-09,Minor,2
2010-09,None,2
2010-10,Major,1
2010-10,Minor,1
2010-10,None,4
2010-12,Minor,2
2010-12,None,1
2011-01,Minor,4
2011-02,Fatal,1
2011-02,None,1
2011-03,Minor,2
2011-04,Minor,3
2011-04,None,1
2011-05,Minor,2
2011-05,None,2
2011-06,Major,2
2011-06,Minor,4
2011-06,None,1
2011-07,Minor,3
2011-07,None,1
2011-08,Minor,1
2011-08,None,1
2011-09,Minor,1
2011-09,None,1
2011-10,Minor,1
2011-10,None,2
2011-11,Major,2
2011-11,Minor,1
2011-12,Minor,1
2011-12,None,1
2012-01,Major,1
2012-01,Minor,1
2012-04,Minor,4
2012-04,None,2
2012-05,Major,1
2012-05,Minor,2
2012-05,None,3
2012-06,Major,3
2012-06,Minor,1
2012-06,None,9
2012-07,Major,2
2012-07,None,2
2012-08,Major,1
2012-08,Minor,3
2012-08,None,2
2012-09,Major,1
2012-09,None,4
2012-10,Minor,2
2012-10,None,1
2012-11,Minor,1
2012-11,None,1
2012-12,None,3
2013-01,None,2
2013-02,None,1
2013-03,None,2
2013-04,Minor,2
2013-04,None,5
2013-05,Minor,1
2013-05,None,2
2013-06,Minor,1
2013-06,None,2
2013-07,None,7
2013-08,Minor,4
2013-08,None,4
2013-09,Major,2
2013-09,Minor,3
2013-09,None,2
2013-10,Major,2
2013-10,Minor,2
2013-10,None,4
2013-11,Minor,2
2013-11,None,2
2013-12,Major,2
2013-12,None,5
2014-01,Minor,1
2014-01,None,1
2014-02,Minor,1
2014-04,None,1
2014-05,Major,1
2014-05,Minor,1
2014-05,None,4
2014-06,Major,3
2014-06,Minor,5
2014-06,None,6
2014-07,Major,2
2014-07,None,3
2014-08,Major,2
2014-08,Minor,3
2014-08,None,4
2014-09,Major,2
2014-09,Minor,2
2014-09,None,5
2014-10,None,5
2014-11,Major,1
2014-11,Minor,1
2014-11,None,2
2014-12,Minor,2
2014-12,None,1
2015-01,Minor,1
2015-01,None,2
2015-02,Major,1
2015-02,None,1
2015-03,None,5
2015-04,Major,1
2015-04,Minor,1
2015-04,None,3
2015-05,Minor,2
2015-05,None,4
2015-06,Major,2
2015-06,Minor,3
2015-06,None,4
2015-07,Major,1
2015-07,Minor,4
2015-07,None,8
2015-08,Minor,4
2015-08,None,6
2015-09,Major,1
2015-09,Minor,7
2015-09,None,11
2015-10,Major,2
2015-10,Minor,6
2015-10,None,3
2015-11,Major,2
2015-11,Minor,6
2015-11,None,3
2015-12,Minor,3
2015-12,None,2
2016-01,Major,1
2016-01,Minor,4
2016-01,None,2
2016-02,Minor,2
2016-02,None,3
2016-03,Major,1
2016-03,Minor,6
2016-03,None,11
2016-04,Minor,7
2016-04,None,8
2016-05,Major,1
2016-05,Minor,5
2016-05,None,8
2016-06,Major,1
2016-06,Minor,10
2016-06,None,7
2016-07,Major,4
2016-07,Minor,11
2016-07,None,10
2016-08,Major,2
2016-08,Minor,8
2016-08,None,14
2016-09,Major,1
2016-09,Minor,7
2016-09,None,10
2016-10,Minor,6
2016-10,None,8
2016-11,Major,1
2016-11,Minor,5
2016-11,None,2
2016-12,Minor,3
2016-12,None,1
2017-01,Minor,3
2017-01,None,4
2017-02,Major,1
2017-02,Minor,6
2017-02,None,5
2017-03,Major,2
2017-03,Minor,6
2017-03,None,6
2017-04,Major,3
2017-04,Minor,4
2017-04,None,6
2017-05,Major,2
2017-05,Minor,10
2017-05,None,7
2017-06,Major,1
2017-06,Minor,7
2017-06,None,13
2017-07,Major,2
2017-07,Minor,8
2017-07,None,2
2017-08,Fatal,1
2017-08,Minor,8
2017-08,None,6
2017-09,Major,1
2017-09,Minor,9
2017-09,None,9
2017-10,Minor,9
2017-10,None,3
2017-11,Major,1
2017-11,Minor,5
2017-11,None,6
2017-12,Major,1
2017-12,Minor,6
2017-12,None,2
2018-01,Minor,2
2018-01,None,3
2018-02,Minor,2
2018-02,None,3
2018-03,Minor,2
2018-04,Minor,7
2018-04,None,3
2018-05,None,4
2018-06,Major,1
2018-06,Minor,10
2018-06,None,17
2018-07,Fatal,1
2018-07,Major,2
2018-07,Minor,11
2018-07,None,12
2018-08,Major,1
2018-08,Minor,12
2018-08,None,11
2018-09,Major,2
2018-09,Minor,7
2018-09,None,7
2018-10,Major,1
2018-10,Minor,13
2018-10,None,12
2018-11,Major,1
2018-11,Minor,4
2018-11,None,3
2018-12,Major,3
2018-12,Minor,8
2018-12,None,6
2019-01,Major,2
2019-01,Minor,1
2019-01,None,7
2019-02,Minor,2
2019-02,None,1
2019-03,Minor,5
2019-03,None,8
2019-04,Major,4
2019-04,Minor,4
2019-04,None,11
2019-05,Minor,7
2019-05,None,11
2019-06,Major,2
2019-06,Minor,8
2019-06,None,9
2019-07,Major,2
2019-07,Minor,9
2019-07,None,13
2019-08,Major,2
2019-08,Minor,14
2019-08,None,16
2019-09,Major,4
2019-09,Minor,13
2019-09,None,20
2019-10,Fatal,1
2019-10,Major,3
2019-10,Minor,22
2019-10,None,26
2019-11,Minor,5
2019-11,None,8
2019-12,Major,1
2019-12,Minor,5
2019-12,None,7
2020-01,Minor,6
2020-01,None,5
2020-02,Major,1
2020-02,Minor,4
2020-02,None,9
2020-03,Minor,6
2020-03,None,5
2020-04,Major,1
2020-04,Minor,4
2020-04,None,5
2020-05,Major,1
2020-05,Minor,10
2020-05,None,9
2020-06,Fatal,2
2020-06,Major,1
2020-06,Minor,14
2020-06,None,8
2020-07,Major,2
2020-07,Minor,17
2020-07,None,15
2020-08,Fatal,1
2020-08,Major,1
2020-08,Minor,11
2020-08,None,13
2020-09,Major,1
2020-09,Minor,5
2020-09,None,16
2020-10,Fatal,1
2020-10,Minor,3
2020-10,None,7
2020-11,Minor,6
2020-11,None,7
2020-12,Major,1
