year_quarter,severity,count
2003-Q4,Minor,1
2006-Q3,None,1
2008-Q2,Minor,1
2008-Q2,None,1
2008-Q3,None,4
2008-Q4,None,2
2009-Q1,Minor,2
2009-Q1,None,4
2009-Q2,Major,3
2009-Q2,Minor,3
2009-Q2,None,8
2009-Q3,Minor,2
2009-Q3,None,3
2009-Q4,Major,1
2009-Q4,Minor,1
2009-Q4,None,5
2010-Q1,Minor,2
2010-Q2,Major,2
2010-Q2,Minor,8
2010-Q2,None,6
2010-Q3,Major,2
2010-Q3,Minor,2
2010-Q3,None,6
2010-Q4,Major,1
2010-Q4,Minor,3
2010-Q4,None,5
2011-Q1,Fatal,1
2011-Q1,Minor,6
2011-Q1,None,1
2011-Q2,Major,2
2011-Q2,Minor,9
2011-Q2,None,4
2011-Q3,Minor,5
2011-Q3,None,3
2011-Q4,Major,2
2011-Q4,Minor,3
2011-Q4,None,3
2012-Q1,Major,1
2012-Q1,Minor,1
2012-Q2,Major,4
2012-Q2,Minor,7
2012-Q2,None,14
2012-Q3,Major,4
2012-Q3,Minor,3
2012-Q3,None,8
2012-Q4,Minor,3
2012-Q4,None,5
2013-Q1,None,5
2013-Q2,Minor,4
2013-Q2,None,9
2013-Q3,Major,2
2013-Q3,Minor,7
2013-Q3,None,13
2013-Q4,Major,4
2013-Q4,Minor,4
2013-Q4,None,11
2014-Q1,Minor,2
2014-Q1,None,1
2014-Q2,Major,4
2014-Q2,Minor,6
2014-Q2,None,11
2014-Q3,Major,6
2014-Q3,Minor,5
2014-Q3,None,12
2014-Q4,Major,1
2014-Q4,Minor,3
2014-Q4,None,8
2015-Q1,Major,1
2015-Q1,Minor,1
2015-Q1,None,8
2015-Q2,Major,3
2015-Q2,Minor,6
2015-Q2,None,11
2015-Q3,Major,2
2015-Q3,Minor,15
2015-Q3,None,25
2015-Q4,Major,4
2015-Q4,Minor,15
2015-Q4,None,8
2016-Q1,Major,2
2016-Q1,Minor,12
2016-Q1,None,16
2016-Q2,Major,2
2016-Q2,Minor,22
2016-Q2,None,23
2016-Q3,Major,7
2016-Q3,Minor,26
2016-Q3,None,34
2016-Q4,Major,1
2016-Q4,Minor,14
2016-Q4,None,11
2017-Q1,Major,3
2017-Q1,Minor,15
2017-Q1,None,15
2017-Q2,Major,6
2017-Q2,Minor,21
2017-Q2,None,26
2017-Q3,Fatal,1
2017-Q3,Major,3
2017-Q3,Minor,25
2017-Q3,None,17
2017-Q4,Major,2
2017-Q4,Minor,20
2017-Q4,None,11
2018-Q1,Minor,6
2018-Q1,None,6
2018-Q2,Major,1
2018-Q2,Minor,17
2018-Q2,None,24
2018-Q3,Fatal,1
2018-Q3,Major,5
2018-Q3,Minor,30
2018-Q3,None,30
2018-Q4,Major,5
2018-Q4,Minor,25
2018-Q4,None,21
2019-Q1,Major,2
2019-Q1,Minor,8
2019-Q1,None,16
2019-Q2,Major,6
2019-Q2,Minor,19
2019-Q2,None,31
2019-Q3,Major,8
2019-Q3,Minor,36
2019-Q3,None,49
2019-Q4,Fatal,1
2019-Q4,Major,4
2019-Q4,Minor,32
2019-Q4,None,41
2020-Q1,Major,1
2020-Q1,Minor,16
2020-Q1,None,19
2020-Q2,Fatal,2
2020-Q2,Major,3
2020-Q2,Minor,28
2020-Q2,None,22
2020-Q3,Fatal,1
2020-Q3,Major,4
2020-Q3,Minor,33
2020-Q3,None,44
2020-Q4,Fatal,1
2020-Q4,Major,1
2020-Q4,Minor,14
2020-Q4,None,21
2021-Q1,Major,1
2021-Q1,Minor,13
2021-Q1,None,10
2021-Q2,Major,7
2021-Q2,Minor,33
2021-Q2,None,38
2021-Q3,Major,7
2021-Q3,Minor,33
2021-Q3,None,32
2021-Q4,Major,3
2021-Q4,Minor,14
2021-Q4,None,7
2022-Q1,Major,1
2022-Q1,Minor,2
2022-Q1,None,6
2022-Q2,Major,4
2022-Q2,Minor,14
2022-Q2,None,8
2022-Q3,Major,5
2022-Q3,Minor,20
2022-Q3,None,7
2022-Q4,Fatal,1
2022-Q4,Major,4
2022-Q4,Minor,16
2022-Q4,None,9
2023-Q1,Major,2
2023-Q1,Minor,3
2023-Q1,None,12
2023-Q2,Major,2
2023-Q2,Minor,17
2023-Q2,None,13
2023-Q3,Minor,43
2023-Q3,None,26
2023-Q4,Major,8
2023-Q4,Minor,41
2023-Q4,None,27
2024-Q1,Major,8
2024-Q1,Minor,39
2024-Q1,None,42
2024-Q2,Major,10
2024-Q2,Minor,53
2024-Q2,None,51
2024-Q3,Fatal,1
2024-Q3,Major,13
2024-Q3,Minor,62
2024-Q3,None,45
2024-Q4,Major,7
2024-Q4,Minor,45
2024-Q4,None,33
2025-Q1,Major,3
2025-Q1,Minor,36
2025-Q1,None,19
2025-Q2,Major,4
2025-Q2,Minor,49
2025-Q2,None,40
2025-Q3,Major,10
2025-Q3,Minor,42
2025-Q3,None,38
2025-Q4,Major,4
2025-Q4,Minor,30
2025-Q4,None,26
2026-Q1,Major,3
2026-Q1,Minor,28
2026-Q1,None,23
2026-Q2,Fatal,3
2026-Q2,Major,9
2026-Q2,Minor,85
2026-Q2,None,51
2026-Q3,Fatal,1
2026-Q3,Major,7
2026-Q3,Minor,71
2026-Q3,None,33
