year,severity,count
2003,Minor,1
2006,None,1
2008,Minor,1
2008,None,9
2009,Major,5
2009,Minor,12
2009,None,26
2010,Major,5
2010,Minor,23
2010,None,24
2011,Fatal,1
2011,Major,5
2011,Minor,25
2011,None,15
2012,Major,10
2012,Minor,14
2012,None,32
2013,Major,6
2013,Minor,16
2013,None,39
2014,Major,11
2014,Minor,17
2014,None,35
2015,Major,13
2015,Minor,38
2015,None,58
2016,Major,12
2016,Minor,74
2016,None,84
2017,Fatal,1
2017,Major,14
2017,Minor,81
2017,None,69
2018,Fatal,1
2018,Major,11
2018,Minor,78
2018,None,82
2019,Fatal,1
2019,Major,20
2019,Minor,95
2019,None,137
2020,Fatal,4
2020,Major,9
2020,Minor,91
2020,None,106
2021,Major,18
2021,Minor,93
2021,None,88
2022,Fatal,1
2022,Major,14
2022,Minor,52
2022,None,30
2023,Major,12
2023,Minor,104
2023,None,78
2024,Fatal,1
2024,Major,38
2024,Minor,199
2024,None,171
2025,Major,21
2025,Minor,157
2025,None,123
2026,Fatal,4
2026,Major,19
2026,Minor,184
2026,None,108
